Name,Asterley Product,Spec,Garnish,Method,Glassware,Difficulty,Occasions
Asterley Paloma Highball,Asterley Original Aperitivo,Asterley Original 45ml · Fresh lime juice 15ml · Sparkling grapefruit soda 100ml,Grapefruit wedge,Build over ice · top with grapefruit soda,Highball glass,Easy,"summer, casual, long drink, aperitivo, afternoon"
Britannica Negroni Sbagliato,Britannica London Fernet,Britannica London Fernet 20ml · Bitter aperitivo 25ml · Prosecco 60ml,Orange slice,Build over ice · top with prosecco,Large wine glass or tumbler,Easy,"aperitivo, sparkling, negroni-week, casual, evening"
Dispense Boulevardier,Dispense Modern British Amaro,Dispense Amaro 30ml · Bourbon whiskey 30ml · Sweet vermouth 20ml,Orange peel,Stir 25–30s · strain over large ice cube,Rocks glass,Medium,"digestif, after-dinner, negroni-week, stirred, spirit-forward, winter"
Estate White Negroni,Estate English Sweet Vermouth,Estate Sweet Vermouth 30ml · London dry gin 30ml · Suze gentian 20ml,Lemon twist,Stir 20s · strain into coupe or over ice,Coupe or rocks glass,Medium,"aperitivo, negroni-week, stirred, herbal, dinner party"
Estate Strawberry Cobbler,Estate English Sweet Vermouth,Estate Sweet Vermouth 60ml · Fresh strawberries 2 berries · Fresh orange juice 15ml,Strawberry half and mint sprig,Muddle strawberries · shake hard 10s · fine strain over crushed ice,Rocks glass / tumbler with crushed ice,Medium,"summer, garden party, shaken, fruity, afternoon"
Asterley Peach Punch,Asterley Original Aperitivo,Asterley Original 50ml · White peach puree 30ml · Fresh lemon juice 15ml · Sparkling water 60ml,Peach slice or basil sprig,Shake 8s · strain over ice · top with sparkling water,Tall glass / highball,Easy,"summer, garden party, punch, fruity, casual"
Schofield's Garden Cup,Schofield's English Dry Vermouth,Schofield's Dry Vermouth 60ml · Cloudy lemonade 100ml · Fresh lemon juice 15ml,"Cucumber ribbon, mint, strawberry slice",Build over ice · top with cloudy lemonade,Tall glass or pitcher,Easy,"summer, garden party, casual, long drink, low ABV"
Cunard Elderflower Spritz,Cunard English Dry Vermouth,Cunard Dry Vermouth 45ml · Elderflower liqueur 15ml · Dry sparkling wine 90ml,Cucumber slice and elderflower sprig,Build over ice · top with sparkling wine,Large wine glass,Easy,"spring, aperitivo, sparkling, floral, garden party"
Asterley Grapefruit Spritz,Asterley Original Aperitivo,Asterley Original 45ml · Pink grapefruit juice 30ml · Dry prosecco 75ml,Grapefruit half-wheel,Shake 5–6s · strain over ice · top with prosecco,Large wine glass,Easy,"aperitivo, spring, summer, sparkling, casual"
Estate Rhubarb Spritz,Estate English Sweet Vermouth,Estate Sweet Vermouth 45ml · Rhubarb syrup 20ml · Dry prosecco 90ml,Rhubarb ribbon and lemon twist,Build over ice · top with prosecco · stir once,Large wine glass,Easy,"spring, aperitivo, sparkling, fruity, garden party"
Britannica Mint Spritz,Britannica London Fernet,Britannica London Fernet 30ml · Tonic water 120ml,Cucumber slice and mint sprig,Build over ice · top with tonic,Large wine glass,Easy,"aperitivo, low ABV, summer, herbal, casual"
Britannica Toronto,Britannica London Fernet,Rye whiskey 50ml · Britannica London Fernet 15ml · Simple syrup 10ml · Aromatic bitters 2 dashes,Orange peel,Stir until velvety · strain into coupe or over large cube,Coupe or rocks glass,Medium,"digestif, after-dinner, stirred, spirit-forward, dinner party"
Britannica Fernet & Ginger,Britannica London Fernet,Britannica London Fernet 40ml · Ginger ale 120ml,Lime wedge and optional mint sprig,Build over ice · top with ginger ale · stir gently,Highball glass,Easy,"casual, long drink, herbal, summer, easy serves"
