Glass Category,Glass Note,Mood ID,Mood Label,Mood Note,Recipe,Spec,Garnish,Method,Glass Used
Negroni,bitter balanced,strong,Strong & Bitter,negroni country,Dispense Negroni Scuro,"Dispense Amaro 30ml · London dry gin 30ml · Sweet vermouth 30ml",Orange twist,Stir 30s,Rocks glass
Negroni,bitter balanced,fizzy,Fizzy & Social,spritz for two,Estate White Negroni,"Estate Sweet Vermouth 30ml · London dry gin 30ml · Suze gentian 20ml",Lemon twist,Stir 20s,Coupe or rocks glass
Negroni,bitter balanced,spice,Warm & Spiced,a rainy day drink,Dispense Negroni Scuro,"Dispense Amaro 30ml · London dry gin 30ml · Sweet vermouth 30ml",Orange twist,Stir 30s,Rocks glass
Fizz,sparkling celebratory,bright,Bright & Crisp,martini territory,Asterley Grapefruit Spritz,"Asterley Original Aperitivo 45ml · Pink grapefruit juice 30ml · Prosecco 75ml",Grapefruit half-wheel,Shake then top with prosecco,Large wine glass
Fizz,sparkling celebratory,dark,Dark & Brooding,a stirred affair,Asterley Grapefruit Spritz,"Asterley Original Aperitivo 45ml · Pink grapefruit juice 30ml · Prosecco 75ml",Grapefruit half-wheel,Shake then top with prosecco,Large wine glass
Fizz,sparkling celebratory,easy,Easy & Long,highball slow,Asterley Grapefruit Spritz,"Asterley Original Aperitivo 45ml · Pink grapefruit juice 30ml · Prosecco 75ml",Grapefruit half-wheel,Shake then top with prosecco,Large wine glass
Fizz,sparkling celebratory,strong,Strong & Bitter,negroni country,Asterley Grapefruit Spritz,"Asterley Original Aperitivo 45ml · Pink grapefruit juice 30ml · Prosecco 75ml",Grapefruit half-wheel,Shake then top with prosecco,Large wine glass
Fizz,sparkling celebratory,fizzy,Fizzy & Social,spritz for two,Asterley Grapefruit Spritz,"Asterley Original Aperitivo 45ml · Pink grapefruit juice 30ml · Prosecco 75ml",Grapefruit half-wheel,Shake then top with prosecco,Large wine glass
Fizz,sparkling celebratory,spice,Warm & Spiced,a rainy day drink,Asterley Grapefruit Spritz,"Asterley Original Aperitivo 45ml · Pink grapefruit juice 30ml · Prosecco 75ml",Grapefruit half-wheel,Shake then top with prosecco,Large wine glass
Digestivo,warming contemplative,bright,Bright & Crisp,martini territory,Britannica Toronto,"Rye whiskey 50ml · Britannica London Fernet 15ml · Simple syrup 10ml · Bitters 2 dashes",Orange peel,Stir until velvety,Coupe or rocks glass
Digestivo,warming contemplative,dark,Dark & Brooding,a stirred affair,Britannica Toronto,"Rye whiskey 50ml · Britannica London Fernet 15ml · Simple syrup 10ml · Bitters 2 dashes",Orange peel,Stir until velvety,Coupe or rocks glass
Digestivo,warming contemplative,easy,Easy & Long,highball slow,Britannica Toronto,"Rye whiskey 50ml · Britannica London Fernet 15ml · Simple syrup 10ml · Bitters 2 dashes",Orange peel,Stir until velvety,Coupe or rocks glass
Digestivo,warming contemplative,strong,Strong & Bitter,negroni country,Britannica Toronto,"Rye whiskey 50ml · Britannica London Fernet 15ml · Simple syrup 10ml · Bitters 2 dashes",Orange peel,Stir until velvety,Coupe or rocks glass
Digestivo,warming contemplative,fizzy,Fizzy & Social,spritz for two,Britannica Toronto,"Rye whiskey 50ml · Britannica London Fernet 15ml · Simple syrup 10ml · Bitters 2 dashes",Orange peel,Stir until velvety,Coupe or rocks glass
Digestivo,warming contemplative,spice,Warm & Spiced,a rainy day drink,Britannica Toronto,"Rye whiskey 50ml · Britannica London Fernet 15ml · Simple syrup 10ml · Bitters 2 dashes",Orange peel,Stir until velvety,Coupe or rocks glass
